,运输模式,客户细分类型,国家,主地区,市场,订单优先级,订单年份,产品类别,子类别,折扣,客户名称
0,Standard Class,Consumer,147,Central,EU,Medium,2018,Office Supplies,Binders,0.0,795
1,First Class,Corporate,,Africa,LATAM,High,2019,Technology,Art,0.1,
2,Second Class,Home Office,,Central Asia,Africa,Low,2020,Furniture,Storage,0.7,
3,Same Day,,,North Asia,APAC,Critical,2021,,Envelopes,0.4,
4,,,,North,EMEA,,,,Labels,0.5,
5,,,,South,Canada,,,,Fasteners,0.6,
6,,,,Caribbean,US,,,,Supplies,0.2,
7,,,,EMEA,,,,,Paper,0.3,
8,,,,Oceania,,,,,Appliances,0.8,
9,,,,Southeast Asia,,,,,Accessories,0.35,
10,,,,Canada,,,,,Phones,0.45,
11,,,,East,,,,,Copiers,0.85,
12,,,,West,,,,,Machines,0.27,
13,,,,,,,,,Tables,0.37,
14,,,,,,,,,Bookcases,0.17,
15,,,,,,,,,Furnishings,0.47,
16,,,,,,,,,Chairs,0.57,
17,,,,,,,,,,0.25,
18,,,,,,,,,,0.55,
19,,,,,,,,,,0.07,
20,,,,,,,,,,0.65,
21,,,,,,,,,,0.15,
22,,,,,,,,,,0.002,
23,,,,,,,,,,0.602,
24,,,,,,,,,,0.202,
25,,,,,,,,,,0.402,
26,,,,,,,,,,0.32,
